hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
McDonald's,4.5 • 27 mins,"Burgers, Beverages, Cafe, Desserts",Kandivali East,30% OFF UPTO ₹75 ,4.5,27.0,burgers,30.0,75.0,UPTO,Yes
KFC,4.2 • 30 mins,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East,40% OFF UPTO ₹80 ,4.2,30.0,burgers,40.0,80.0,UPTO,Yes
Domino's Pizza,4.3 • 25 mins,"Pizzas, Italian, Pastas, Desserts",Thakur Village,₹150 OFF ABOVE ₹299 ,4.3,25.0,pizzas,0.0,150.0,ABOVE,Yes
Charcoal Eats - Biryani & Beyond,4.3 • 24 mins,"Biryani, Kebabs, Hyderabadi, North Indian",Malad East,50% OFF UPTO ₹100 ,4.3,24.0,biryani,50.0,100.0,UPTO,Yes
Sandwizzaa,4.6 • 22 mins,"Snacks, Fast Food, Beverages, Jain",Kandivali East,60% OFF UPTO ₹120 ,4.6,22.0,snacks,60.0,120.0,UPTO,Yes
1441 Pizzeria,3.8 • 32 mins,"Italian, Pizzas, Pastas",Kandivali East,60% OFF UPTO ₹120 ,3.8,32.0,italian,60.0,120.0,UPTO,Yes
Hangout Cakes & More,4.4 • 24 mins,"Desserts, Bakery",Borivali West,60% OFF UPTO ₹150 ,4.4,24.0,desserts,60.0,150.0,UPTO,Yes
Love & Cheesecake ,4.5 • 14 mins,Desserts,Kandivali East, ,4.5,14.0,desserts,0.0,0.0,NONE,Yes
Nothing But Chicken,4.5 • 22 mins,"Salads, Biryani, Kebabs, Fast Food, Healthy Food",Kandivali East,20% OFF UPTO ₹50 ,4.5,22.0,salads,20.0,50.0,UPTO,Yes
Sweet Bengal,4.6 • 13 mins,"Sweets, Indian, Snacks, Desserts",Kandivali East,20% OFF UPTO ₹50 ,4.6,13.0,sweets,20.0,50.0,UPTO,Yes
Atta Girl,4.7 • 27 mins,South Indian,Malad West, ,4.7,27.0,south indian,0.0,0.0,NONE,Yes
NIC Ice Creams,4.7 • 17 mins,"Ice Cream, Desserts",Kandivali East,ITEMS AT ₹149 ,4.7,17.0,ice cream,0.0,149.0,ITEM_BASED,Yes
Poetry By Love & Cheesecake,4.4 • 34 mins,Desserts,Kandivali West, ,4.4,34.0,desserts,0.0,0.0,NONE,Yes
Havmor Havfunn Ice Cream,4.6 • 18 mins,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",Malad East, ,4.6,18.0,ice cream,0.0,0.0,NONE,Yes
NOTO - Ice Creams & Desserts,4.6 • 15 mins,Ice Cream,Kandivali East,₹175 OFF ABOVE ₹799 ,4.6,15.0,ice cream,0.0,175.0,ABOVE,Yes
McDonald's Gourmet Burger Collection,4.3 • 26 mins,"Burgers, Beverages, Cafe, Desserts",Malad East, ,4.3,26.0,burgers,0.0,0.0,NONE,Yes
Grameen Kulfi,4.7 • 16 mins,"Ice Cream, Desserts",Kandivali East,EVERY ITEM @ ₹99 ,4.7,16.0,ice cream,0.0,99.0,ITEM_BASED,Yes
Surbhi Sweets And Snacks,4.2 • 24 mins,"Sweets, Chaat, Snacks, Desserts, Beverages, Indian",Dahisar East,₹125 OFF ABOVE ₹599 ,4.2,24.0,sweets,0.0,125.0,ABOVE,Yes
Jumboking Indian Burger,4.5 • 25 mins,"American, Mexican, Fast Food, Snacks, Beverages",Dahisar East,₹175 OFF ABOVE ₹449 ,4.5,25.0,american,0.0,175.0,ABOVE,Yes
Theobroma,4.5 • 23 mins,"Bakery, Desserts",Borivali West,₹150 OFF ABOVE ₹999 ,4.5,23.0,bakery,0.0,150.0,ABOVE,Yes
Amul Real Milk Real Ice Cream,4.3 • 29 mins,Ice Cream,Borivali West, ₹100 OFF ABOVE ₹749,4.3,29.0,ice cream,0.0,100.0,ABOVE,Yes
"Dabba Garam (Homestyle,Combo, Thali & More)",4.5 • 35 mins,"Home Food, North Indian, Thai",Borivali West, 15% OFF UPTO ₹45,4.5,35.0,home food,15.0,45.0,UPTO,Yes
Bakingo-Cakes & Desserts,4.4 • 33 mins,"Bakery, Desserts, Beverages, Snacks",Kandivali West, ₹175 OFF ABOVE ₹999,4.4,33.0,bakery,0.0,175.0,ABOVE,Yes
NH1 Bowls - Highway To North,4.7 • 11-21 mins,"North Indian, Punjabi, Home Food",Kandivali East, 50% OFF UPTO ₹100,4.7,16.0,north indian,50.0,100.0,UPTO,Yes
63 By-Lane,4.3 • 36 mins,"Pizzas, Pastas, Salads",Malad East, ₹125 OFF ABOVE ₹699,4.3,36.0,pizzas,0.0,125.0,ABOVE,Yes
Nishi Home Delites,4.6 • 27 mins,"Indian, Punjabi",Kandivali East, FREE ITEM ,4.6,27.0,indian,0.0,0.0,ITEM_BASED,Yes
Rasobongo,4.4 • 13 mins,"Bengali, Sweets, Desserts, Snacks",Kandivali East, 10% OFF UPTO ₹40,4.4,13.0,bengali,10.0,40.0,UPTO,Yes
Central Prabhu,4.4 • 35 mins,"Mughlai, North Indian, Chinese, Konkan, Malwani",Borivali East, ₹100 OFF ABOVE ₹299,4.4,35.0,mughlai,0.0,100.0,ABOVE,Yes
Peetuk,4.2 • 22 mins,"Biryani, Bengali",Kandivali East, ₹125 OFF ABOVE ₹249,4.2,22.0,biryani,0.0,125.0,ABOVE,Yes
The Joy Pizzateria,4.1 • 24 mins,"Pizzas, Beverages",Kandivali East, 60% OFF UPTO ₹120,4.1,24.0,pizzas,60.0,120.0,UPTO,Yes
Theobroma,4.5 • 15 mins,"Bakery, Desserts",Kandivali East, ₹150 OFF ABOVE ₹999,4.5,15.0,bakery,0.0,150.0,ABOVE,Yes
Third Wave Coffee,4.3 • 18 mins,"Cafe, Beverages, Desserts",Malad East, 20% OFF UPTO ₹50,4.3,18.0,cafe,20.0,50.0,UPTO,Yes
Big Bowl,4 • 24 mins,"North Indian, Chinese, Tibetan, Desserts",Kandivali East, ITEMS AT ₹169,,24.0,north indian,0.0,169.0,ITEM_BASED,Yes
Shree mithai,4.7 • 24 mins,Indian,Borivali West, ,4.7,24.0,indian,0.0,0.0,NONE,Yes
Breadkraft,4.3 • 21 mins,Pizzas,Mumbai, 30% OFF UPTO ₹75,4.3,21.0,pizzas,30.0,75.0,UPTO,Yes
The Bengal Club,4.1 • 18 mins,Bengali,Malad East, ₹125 OFF ABOVE ₹249,4.1,18.0,bengali,0.0,125.0,ABOVE,Yes
Shawarmaji,4.4 • 16 mins,Lebanese,Kandivali, FREE ITEM ,4.4,16.0,lebanese,0.0,0.0,ITEM_BASED,Yes
Good Flippin' Burgers,4.6 • 18 mins,"American, Fast Food, Burgers",Kandivali East, 20% OFF UPTO ₹50,4.6,18.0,american,20.0,50.0,UPTO,Yes
Achija,4.2 • 22 mins,"North Indian, South Indian, Chinese, Beverages, Indian, Burgers, Chaat",Kandivali East, ,4.2,22.0,north indian,0.0,0.0,NONE,Yes
Granville Greens,4.4 • 36 mins,"North Indian, South Indian, Chinese, Beverages, Italian, Mexican, Lebanese, Thai",Borivali West, 10% OFF ABOVE ₹500,4.4,36.0,north indian,10.0,500.0,ABOVE,Yes
